title,Date,word_count,JustClean,JustAfford,JustReliable,JustSustain,JustModern,CleanSent,AffordSent,ReliableSent,SustainSent,ModernSent,GreenJobSent,ScientistSent
['Renewable Energy'],2009-08-20,86671,7,3,3,8,15,5,0,0,0,0,0,0
['Nuclear Energy'],2009-09-15,53585,2,7,2,10,13,0,1,1,4,0,0,0
"['Energy Efficient Homes Package', 'Energy Efficient Homes Package']",2009-09-16,108694,1,0,0,8,12,1,0,0,0,0,2,0
['Energy Efficient Homes'],2009-09-17,94734,7,1,0,15,5,3,1,0,1,0,11,0
['Climate Change: Resources and Energy'],2009-10-19,140987,21,9,8,28,24,9,2,0,2,0,1,3
"['Resources, Energy and Tourism: Staff']",2009-10-20,71793,10,6,1,2,3,11,0,0,0,0,5,1
['Renewable Energy'],2009-10-28,181051,40,6,4,29,6,23,2,7,6,0,4,4
['Energy Efficient Homes Package'],2009-11-19,95760,11,2,5,16,10,8,0,1,6,0,3,0
['Parliament House: Energy and Water Measures'],2009-11-23,141528,1,15,1,16,6,2,0,0,0,0,6,1
"['Royal Automobile Club of Victoria Energy Breakthrough', 'Australian Alliance to Save Energy']",2009-11-26,208644,11,5,1,6,8,5,0,0,2,0,0,0
['Parliament House: Energy and Water Measures'],2010-02-02,84358,7,4,0,10,3,6,1,0,2,2,3,6
['Parliament House: Energy and Water Measures'],2010-02-09,61560,13,0,0,2,9,9,0,0,1,0,0,1
['Solar Energy'],2010-02-10,127519,32,11,4,10,7,25,0,6,0,1,1,2
['Solar Energy'],2010-02-22,126417,1,4,1,24,7,0,0,0,1,1,5,0
['Solar Energy'],2010-03-11,93321,15,10,8,11,8,7,0,0,2,2,0,0
"['Minister for Climate Change, Energy Efficiency: Overseas Travel and Water']",2010-05-24,137733,5,10,2,13,10,2,0,0,2,0,0,0
['Renewable Energy Bonus Scheme'],2010-06-15,99534,4,3,0,2,9,3,0,0,0,0,0,0
['Solar Energy'],2010-06-16,86234,16,1,2,5,6,11,0,0,1,0,0,0
"['Resources, Energy and Tourism: Moncrieff Electorate', 'Fusion Energy Research']",2010-06-24,118286,10,9,0,12,10,3,0,0,1,0,0,0
['Energy Efficiency'],2010-09-30,68270,4,0,0,15,8,3,0,0,2,0,0,0
['Newcastle Institute for Energy and Resources'],2010-10-19,114563,18,1,4,14,20,9,1,1,2,1,0,1
['Energy Sector'],2010-11-16,140627,3,12,3,10,17,7,2,5,1,1,0,0
['Renewable Energy'],2010-11-18,84007,6,27,1,11,5,3,2,0,0,0,0,0
['Energy Sector'],2010-11-23,73041,4,43,1,1,1,0,0,1,0,0,0,0
"['Climate Change and Energy Efficiency: Staffing', 'Climate Change and Energy Efficiency: Premises', 'Resources, Energy and Tourism: Tourism Division']",2010-11-25,122535,7,26,0,6,7,4,0,0,0,0,0,0
['Renewable Energy'],2011-02-08,59602,33,0,0,1,3,1,2,0,0,0,0,0
['Energy Policy'],2011-02-28,187842,31,10,13,9,16,21,0,0,3,0,8,3
['Nuclear Energy'],2011-03-21,174501,32,21,3,40,12,21,1,0,6,1,11,2
['Renewable Energy'],2011-03-23,152462,16,1,7,5,12,15,0,1,1,0,0,1
['Energy Grants (Cleaner Fuels) Scheme Amendment Bill 2011'],2011-05-12,100437,7,2,0,11,11,9,1,0,1,0,0,0
['Grey Electorate: Remote Area Energy Scheme'],2011-05-23,188286,15,6,1,15,21,8,1,0,1,0,0,0
"['Energy Grants (Cleaner Fuels) Scheme Amendment Bill 2011', 'Solar Energy']",2011-06-14,120009,12,1,0,10,4,45,2,0,5,1,5,0
['Renewable Energy'],2011-06-15,146076,31,6,3,23,16,28,1,1,3,1,5,1
['Renewable Energy'],2011-06-16,79953,11,5,5,11,3,7,2,2,1,0,0,0
"['Tax Laws Amendment (2010 Measures No. 5) Bill 2010, Corporations Amendment (Improving Accountability on Director and Executive Remuneration) Bill 2011, Taxation of Alternative Fuels Legislation Amendment Bill 2011, Excise Tariff Amendment (Taxation of Alternative Fuels) Bill 2011, Customs Tariff Amendment (Taxation of Alternative Fuels) Bill 2011, Energy Grants (Cleaner Fuels) Scheme Amendment Bill 2011', 'Renewable Energy', 'Parliament House: Energy Use']",2011-06-21,113440,15,3,2,11,5,11,1,0,1,1,0,0
